filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
100497.wav,0.3530431091785431,0.12967270612716675,2755.1596722560794,2803.714275378002,6168.963623046875,0.07860423900462964,-75.25889587402344,74.12669372558594,4.410440921783447,10.711953163146973,1.5229095220565796,12.35338020324707,0.08271860331296921,7.55845832824707,-2.788853883743286,5.101438045501709,0.8422731757164001,8.927309036254883,3.801457166671753,9.203838348388672,4.59752082824707,10.896611213684082,1.9593110084533691,4.754197120666504,-4.429040908813477,1.1189265251159668,Electronic
100522.wav,0.40759795904159546,0.15031510591506958,3378.1809718277664,3044.019959462605,7018.6777750651045,0.1454196506076389,-115.18787384033203,51.24654006958008,16.773761749267578,1.0653098821640015,-4.4759063720703125,11.095569610595703,-2.7456302642822266,-7.725275039672852,-10.184637069702148,0.9235172867774963,-12.672826766967773,-0.5665636658668518,-8.416990280151367,-1.4253835678100586,-6.259008407592773,-1.5951069593429565,-7.123302459716797,2.0540714263916016,-5.817743301391602,1.1854147911071777,Electronic
100535.wav,0.48319754004478455,0.1432638168334961,2876.9017893064893,3107.3737311537902,7019.3756103515625,0.10441758897569445,-92.98285675048828,83.84104919433594,29.13391876220703,11.848333358764648,19.945199966430664,20.42062759399414,-4.5569891929626465,13.384247779846191,-0.6377981901168823,15.110554695129395,-2.4884684085845947,1.2079614400863647,-2.7150156497955322,9.191576957702637,-6.600711345672607,5.597631931304932,-3.4992618560791016,7.540924549102783,0.5107086896896362,0.8958468437194824,Electronic
100536.wav,0.38611742854118347,0.21330560743808746,798.6677221566562,1441.2444692729432,1382.012939453125,0.021572536892361112,-184.21820068359375,160.50289916992188,7.31137752532959,34.16978073120117,9.878525733947754,22.877418518066406,4.650722980499268,7.144999980926514,2.9090325832366943,8.936405181884766,0.6734519600868225,0.92829829454422,-4.239232540130615,5.076037406921387,3.8299570083618164,4.814406871795654,-1.8025919198989868,0.7250510454177856,-0.917638897895813,1.3668029308319092,Electronic
100544.wav,0.44043025374412537,0.14219790697097778,3429.0788984758815,3209.3421286164794,7473.81591796875,0.13155110677083334,-101.4278335571289,47.01437759399414,15.407999992370605,14.765351295471191,3.114814281463623,11.852441787719727,2.700197219848633,11.817418098449707,-3.1435739994049072,13.802756309509277,-0.5158067345619202,6.593323707580566,-2.2374417781829834,4.057967662811279,4.035399436950684,0.6577041745185852,2.31758713722229,1.788666844367981,-1.4522985219955444,4.66356086730957,Electronic
100549.wav,0.23903529345989227,0.32745954394340515,2485.134420274925,2699.5092082770393,5818.550618489583,0.0818775318287037,26.13953971862793,86.64443969726562,3.574012517929077,18.518924713134766,-3.945108652114868,6.954938888549805,-7.987422466278076,-0.38956478238105774,-10.435896873474121,-1.6583985090255737,-8.819825172424316,-2.1354849338531494,-4.360273361206055,7.086335182189941,8.416687965393066,19.529747009277344,12.928966522216797,8.422155380249023,-4.671248912811279,-1.606221318244934,Electronic
100550.wav,0.46785250306129456,0.0892946645617485,2822.234106028174,3235.402435531024,7243.131510416667,0.08214201750578703,-165.1373291015625,58.641090393066406,37.48988342285156,42.96735763549805,18.884231567382812,19.183977127075195,11.579961776733398,9.656407356262207,5.1965765953063965,12.630181312561035,3.481872797012329,8.203411102294922,0.8935072422027588,7.930276393890381,1.1507718563079834,4.363185405731201,1.6052178144454956,4.009363174438477,-1.0217185020446777,7.443822383880615,Electronic
100552.wav,0.24370241165161133,0.07603753358125687,1239.4264782428104,1276.1767015223666,2338.446044921875,0.08001935040509259,-210.52342224121094,175.21466064453125,-53.76311111450195,41.776710510253906,-13.145075798034668,10.081365585327148,0.3909793496131897,3.2372539043426514,5.908214092254639,11.183695793151855,4.206880569458008,-5.909633636474609,-8.79101848602295,-1.3051077127456665,4.555850028991699,1.9438132047653198,-3.247279405593872,-4.540170669555664,-1.9596542119979858,-1.9638687372207642,Electronic
100745.wav,0.3140832781791687,0.027113547548651695,2212.8173569435394,2253.8029254700805,4672.2564697265625,0.12669542100694445,-310.4229736328125,93.28221130371094,-16.333675384521484,-9.25627326965332,-51.952518463134766,-17.085548400878906,4.976781845092773,0.2270323783159256,-21.678056716918945,0.7729969620704651,-3.115388870239258,3.406438112258911,-3.2436749935150146,9.63081169128418,1.9897997379302979,10.189631462097168,11.268985748291016,12.270882606506348,-5.419970512390137,4.28809118270874,Electronic
100835.wav,0.37233561277389526,0.3655707836151123,1666.5518898770883,1883.178188320203,3408.3770751953125,0.06663230613425926,-51.94955062866211,121.84217834472656,-10.487743377685547,39.210304260253906,-10.329504013061523,23.55470085144043,5.908618927001953,9.006871223449707,-6.07999324798584,-1.7292184829711914,-7.93953800201416,7.657664775848389,2.082909345626831,1.2497528791427612,-4.248680591583252,5.591567516326904,1.0658001899719238,8.150801658630371,4.730526447296143,-1.41458261013031,Electronic
